MASS,MOMENT/100
100.00,298.16
200.00,591.18
300.00,879.08
400.00,1165.42
500.00,1448.40
600.00,1732.53
700.00,2014.80
800.00,2298.84
900.00,2581.92
1000.00,2866.30
1100.00,3150.18
1200.00,3434.52
1300.00,3718.52
1400.00,4003.23
1500.00,4287.76
1600.00,4572.24
1700.00,4856.56
1800.00,5141.16
1900.00,5425.64
2000.00,5709.90
2100.00,5994.04
2200.00,6278.47
2300.00,6562.82
2400.00,6846.96
2500.00,7131.00
2600.00,7415.33
2700.00,7699.60
2800.00,7984.34
2900.00,8269.06
3000.00,8554.05
3100.00,8839.04
3200.00,9124.80
3300.00,9410.62
3400.00,9696.97
3500.00,9983.40
3600.00,10270.08
3700.00,10556.84
3800.00,10843.87
3900.00,11131.00
4000.00,11418.20
4100.00,11705.50
4200.00,11993.31
4300.00,12281.18
4400.00,12569.04
4500.00,12856.86
4600.00,13144.73
4700.00,13432.48
4800.00,13720.56
4900.00,14008.46
5008.00,14320.34